customer_id,customer_name,contact,address,customer_type,registration_date,credit_limit,customer_status
5001,Arun Sharma 1,"{""email"": ""customer5001@example.com"", ""phone"": ""7905684901""}","{""city"": ""Coimbatore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Retail,2022-02-08,506284.29,Active
5002,Manoj Menon 2,"{""email"": ""customer5002@example.com"", ""phone"": ""6020985220""}","{""city"": ""Kochi"", ""country"": ""India"", ""state"": ""Kerala""}",Wholesale,2025-06-11,585664.36,Active
5003,Pooja Nair 3,"{""email"": ""customer5003@example.com"", ""phone"": ""9870869039""}","{""city"": ""Mumbai"", ""country"": ""India"", ""state"": ""Maharashtra""}",Corporate,2018-05-20,406055.88,Active
5004,Vikram Bose 4,"{""email"": ""customer5004@example.com"", ""phone"": ""7843608479""}","{""city"": ""Jaipur"", ""country"": ""India"", ""state"": ""Rajasthan""}",Wholesale,2024-03-15,126774.39,Active
5005,Suresh Naidu 5,"{""email"": ""customer5005@example.com"", ""phone"": ""7161317156""}","{""city"": ""Hyderabad"", ""country"": ""India"", ""state"": ""Telangana""}",Wholesale,2020-01-10,915471.92,Active
5006,Kavya Shah 6,"{""email"": ""customer5006@example.com"", ""phone"": ""9765577163""}","{""city"": ""Kochi"", ""country"": ""India"", ""state"": ""Kerala""}",Retail,2022-07-05,279270.57,Active
5007,Kavya Pillai 7,"{""email"": ""customer5007@example.com"", ""phone"": ""9367733704""}","{""city"": ""Hyderabad"", ""country"": ""India"", ""state"": ""Telangana""}",Retail,2021-10-10,462904.17,Inactive
5008,Amit Kapoor 8,"{""email"": ""customer5008@example.com"", ""phone"": ""8193624637""}","{""city"": ""Delhi"", ""country"": ""India"", ""state"": ""Delhi""}",Wholesale,2026-11-18,544575.97,Active
5009,Neha Pillai 9,"{""email"": ""customer5009@example.com"", ""phone"": ""7965936420""}","{""city"": ""Ahmedabad"", ""country"": ""India"", ""state"": ""Gujarat""}",Corporate,2019-02-02,978878.66,Active
5010,Suresh Kapoor 10,"{""email"": ""customer5010@example.com"", ""phone"": ""7932806744""}","{""city"": ""Vellore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Wholesale,2026-08-20,236210.68,Active
5011,Meena Reddy 11,"{""email"": ""customer5011@example.com"", ""phone"": ""7851818532""}","{""city"": ""Vellore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Wholesale,2020-05-19,372464.76,Active
5012,Pooja Naidu 12,"{""email"": ""customer5012@example.com"", ""phone"": ""6062663393""}","{""city"": ""Kolkata"", ""country"": ""India"", ""state"": ""West Bengal""}",Wholesale,2020-05-08,454385.97,Active
5013,Rahul Bose 13,"{""email"": ""customer5013@example.com"", ""phone"": ""9599194641""}","{""city"": ""Delhi"", ""country"": ""India"", ""state"": ""Delhi""}",Retail,2021-07-12,388938.16,Active
5014,Ananya Sharma 14,"{""email"": ""customer5014@example.com"", ""phone"": ""9580625543""}","{""city"": ""Coimbatore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Corporate,2024-12-19,676524.56,Inactive
5015,Nikhil Reddy 15,"{""email"": ""customer5015@example.com"", ""phone"": ""6605518866""}","{""city"": ""Coimbatore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Wholesale,2025-04-11,404657.37,Active
5016,Suresh Kumar 16,"{""email"": ""customer5016@example.com"", ""phone"": ""6115379701""}","{""city"": ""Coimbatore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Wholesale,2019-03-28,471388.94,Active
5017,Ravi Das 17,"{""email"": ""customer5017@example.com"", ""phone"": ""6609290514""}","{""city"": ""Ahmedabad"", ""country"": ""India"", ""state"": ""Gujarat""}",Wholesale,2023-10-04,202087.97,Active
5018,Manoj Kumar 18,"{""email"": ""customer5018@example.com"", ""phone"": ""9760079414""}","{""city"": ""Pune"", ""country"": ""India"", ""state"": ""Maharashtra""}",Wholesale,2018-01-19,918951.54,Active
5019,Priya Singh 19,"{""email"": ""customer5019@example.com"", ""phone"": ""6132397329""}","{""city"": ""Bengaluru"", ""country"": ""India"", ""state"": ""Karnataka""}",Corporate,2024-11-20,904327.3,Active
5020,Meena Iyer 20,"{""email"": ""customer5020@example.com"", ""phone"": ""8526758482""}","{""city"": ""Bengaluru"", ""country"": ""India"", ""state"": ""Karnataka""}",Wholesale,2024-06-21,447840.9,Inactive
5021,Pooja Kumar 21,"{""email"": ""customer5021@example.com"", ""phone"": ""9162672326""}","{""city"": ""Hyderabad"", ""country"": ""India"", ""state"": ""Telangana""}",Retail,2025-12-26,806236.43,Active
5022,Kavya Gupta 22,"{""email"": ""customer5022@example.com"", ""phone"": ""9380910069""}","{""city"": ""Chennai"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Corporate,2025-05-13,266332.54,Active
5023,Rahul Shah 23,"{""email"": ""customer5023@example.com"", ""phone"": ""7326595805""}","{""city"": ""Chennai"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Wholesale,2022-12-19,217050.87,Active
5024,Pooja Pillai 24,"{""email"": ""customer5024@example.com"", ""phone"": ""6800833361""}","{""city"": ""Vellore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Individual,2024-04-17,908881.71,Active
5025,Arun Menon 25,"{""email"": ""customer5025@example.com"", ""phone"": ""7095073609""}","{""city"": ""Kochi"", ""country"": ""India"", ""state"": ""Kerala""}",Wholesale,2025-05-27,837506.55,Active
5026,Manoj Shah 26,"{""email"": ""customer5026@example.com"", ""phone"": ""7321158476""}","{""city"": ""Vellore"", ""country"": ""India"", ""state"": ""Tamil Nadu""}",Individual,2026-03-10,292202.44,Active
5027,Divya Reddy 27,"{""email"": ""customer5027@example.com"", ""phone"": ""9117257171""}","{""city"": ""Mumbai"", ""country"": ""India"", ""state"": ""Maharashtra""}",Retail,2021-11-03,193792.93,Active
5028,Vikram Iyer 28,"{""email"": ""customer5028@example.com"", ""phone"": ""6880272219""}","{""city"": ""Hyderabad"", ""country"": ""India"", ""state"": ""Telangana""}",Corporate,2020-02-21,586835.77,Active
5029,Keerthi Kumar 29,"{""email"": ""customer5029@example.com"", ""phone"": ""6061411661""}","{""city"": ""Kolkata"", ""country"": ""India"", ""state"": ""West Bengal""}",Retail,2020-02-11,706209.67,Active
