first_name,last_name,gender,age,salary,expenditure,savings,expenditure_percentage,savings_percentage
Aditi,Mishra,Female,35,80000,65000,15000,0.8125,0.1875
Sona,Singh,Female,35,70000,58000,12000,0.8285714285714286,0.17142857142857143
Devi,Thakur,Female,36,65000,60000,5000,0.9230769230769231,0.07692307692307693
Anjali,Kaur,Female,42,62000,50000,12000,0.8064516129032258,0.1935483870967742
Sahil,Deshmukh,Male,29,62000,57000,5000,0.9193548387096774,0.08064516129032258
Adhira,Das,Male,42,62000,59000,3000,0.9516129032258065,0.04838709677419355
Divya,Bhatt,Female,42,52500,47000,5500,0.8952380952380953,0.10476190476190476
Amar,Rao,Male,52,52100,46000,6100,0.8829174664107485,0.11708253358925144
Jaya,Mehta,Female,28,52000,46000,6000,0.8846153846153846,0.11538461538461539
Candy,Patel,Female,35,52000,40000,12000,0.7692307692307693,0.23076923076923078
Sudhir,Mishra,Male,35,52000,47000,5000,0.9038461538461539,0.09615384615384616
Raghav,Verma,Male,28,51000,49000,2000,0.9607843137254902,0.0392156862745098
Amitabh,Joshi,Male,36,51000,50000,1000,0.9803921568627451,0.0196078431372549
Kanak,Patel,Male,45,50500,40000,10500,0.7920792079207921,0.2079207920792079
Tulsi,Acharya,Female,40,45200,40000,5200,0.8849557522123894,0.11504424778761062
Jasleen,Kaur,Female,50,45000,40000,5000,0.8888888888888888,0.1111111111111111
Nil,Kumar,Male,44,42000,38000,4000,0.9047619047619048,0.09523809523809523
Anand,Yadav,Male,28,42000,38000,4000,0.9047619047619048,0.09523809523809523
Atharva,Das,Male,29,41000,35000,6000,0.8536585365853658,0.14634146341463414
Charu,Patil,Female,26,40000,35000,5000,0.875,0.125
Ajay,Shah,Male,35,36000,32000,4000,0.8888888888888888,0.1111111111111111
Jai,Patil,Male,36,35500,30000,5500,0.8450704225352113,0.15492957746478872
Ishaan,Sharma,Male,35,35000,25000,10000,0.7142857142857143,0.2857142857142857
Dhruva,Yadav,Male,42,35000,22000,13000,0.6285714285714286,0.37142857142857144
Artha,Sharma,Male,31,35000,31000,4000,0.8857142857142857,0.11428571428571428
Shaila,Gupta,Female,51,35000,34000,1000,0.9714285714285714,0.02857142857142857
Inaya,Kumari,Female,52,30000,20000,10000,0.6666666666666666,0.3333333333333333
Darsh,Kulkarni,Male,41,30000,28000,2000,0.9333333333333333,0.06666666666666667
Mihir,Shah,Male,30,30000,28000,2000,0.9333333333333333,0.06666666666666667
Agastya,Joshi,Male,50,25500,20000,5500,0.7843137254901961,0.21568627450980393
Shaan,Pandey,Male,37,25200,22000,3200,0.873015873015873,0.12698412698412698
Navi,Gupta,Female,51,25000,20000,5000,0.8,0.2
Ambar,Khatri,Male,36,25000,22000,3000,0.88,0.12
Lata,Agarwal,Female,28,25000,24000,1000,0.96,0.04
Anaya,Agarwal,Female,25,24100,21000,3100,0.8713692946058091,0.12863070539419086
