sale_id,sale_date,customer_id,product_id,product_name,quantity,unit_price,discount_percent,total_amount,sales_channel,payment_method,sales_region,asset_id,asset_name,asset_type,location,purchase_date,purchase_cost,useful_life_years,last_maintenance_date,condition_score,asset_status,customer_name,email,phone,city,state,country,customer_type,registration_date,credit_limit,customer_status,purchase_order_id,supplier_id,supplier_name,item_id,item_name,unit_cost,total_cost,order_date,expected_delivery,po_status,voucher_id,transaction_date,account_id,account_name,transaction_type,debit_amount,credit_amount,reference_id,cost_center,fiscal_year,posting_status
,,,,,0.0,0.0,0.0,0.0,,,,AST0001,Laptop 1,Network Equipment,Branch Chennai,2024-10-16,658554.44,5.0,2026-01-22,76.7,Idle,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0002,Office Furniture 2,Office Furniture,Branch Mumbai,2025-06-04,735076.32,11.0,2026-09-30,91.7,Idle,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0003,Forklift 3,Network Equipment,Head Office,2024-01-25,337128.36,13.0,2025-09-23,84.2,Under Maintenance,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0004,Forklift 4,Office Furniture,Warehouse A,2024-06-22,686521.54,4.0,2026-02-11,64.6,Under Maintenance,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0005,Generator 5,Laptop,Branch Mumbai,2024-01-18,809467.22,11.0,2025-03-04,73.8,Idle,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0006,Air Conditioner 6,CNC Machine,Branch Mumbai,2024-11-28,578833.36,11.0,2025-02-14,81.9,Retired,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0007,Vehicle 7,Office Furniture,Factory 1,2023-10-13,436870.7,7.0,2024-09-24,80.3,Retired,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0008,Forklift 8,Server,Factory 1,2023-12-09,328098.65,6.0,2024-04-30,96.3,Idle,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0009,Vehicle 9,Network Equipment,Head Office,2023-12-19,832151.54,14.0,2025-11-15,76.5,Retired,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
,,,,,0.0,0.0,0.0,0.0,,,,AST0010,Server 10,Server,Factory 2,2023-10-11,873951.9,9.0,2024-05-18,73.9,Idle,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
